#{"t_start": 1754444974.287548, "env_id": "None"}
r,l,t
-31.101192,7,2.576452
-28.119654,7,2.579444
-36.67069,7,2.579444
-32.967735,6,2.588421
-37.991177,6,2.588421
-32.24794,6,2.591196
-33.46877,6,2.594187
-35.588245,6,2.594187
-37.83521,7,2.597179
-38.887917,6,2.597179
-35.331833,6,2.597179
-31.378782,6,2.605159
-37.766235,6,2.605159
-36.270535,6,2.608149
-32.598858,6,2.611279
-34.42419,6,2.61424
-38.905296,7,2.61424
-28.538898,7,2.616233
-27.5513,7,2.616233
-36.916695,6,2.62122
-36.42778,6,2.624213
-25.712439,6,2.627204
-33.133804,10,2.632101
-33.43621,7,2.632101
-28.69371,7,2.632101
-27.200304,6,2.632101
-34.6132,7,2.635091
-34.418743,6,2.638083
-38.80352,6,2.640078
-26.627373,7,2.646063
-32.051826,6,2.649112
-30.09072,6,2.649112
-38.04941,6,2.649112
-28.856657,7,2.651613
-35.562515,6,2.651613
-31.80045,5,2.654605
-31.94904,6,2.654605
-30.937826,5,2.661587
-36.183334,6,2.664578
-36.675587,7,2.664578
-38.561226,6,2.664578
-39.232403,6,2.667595
-36.480053,6,2.667595
-39.562782,6,2.670022
-35.379166,7,2.672989
-28.205427,6,2.677977
-36.64148,6,2.680969
-36.974743,6,2.680969
-32.757427,7,2.682962
-32.798893,7,2.685954
-30.704792,7,2.685954
-33.308495,6,2.685954
-35.53376,6,2.689533
-32.67781,6,2.69452
-37.135136,6,2.697511
-33.208073,7,2.699507
-25.191088,6,2.699507
-37.12992,6,2.702498
-36.160275,6,2.702498
-33.87331,6,2.702498
-34.789093,6,2.705491
-30.095964,6,2.710181
-31.154638,6,2.713173
-32.398357,6,2.716164
-28.572771,6,2.716164
-31.444744,5,2.719156
-36.235306,6,2.719156
-30.765087,6,2.719156
-32.081673,7,2.72115
-31.536854,7,2.729598
-22.748636,5,2.729598
-31.9435,5,2.729598
-34.536274,7,2.732615
-31.67829,6,2.734584
-31.748966,6,2.734584
-30.912107,6,2.734584
-26.571636,6,2.737576
-29.827585,6,2.744557
-33.612392,6,2.745587
-33.65898,6,2.745587
-29.352064,6,2.74755
-34.89486,6,2.750679
-30.24269,6,2.750679
-34.573093,6,2.750679
-37.44645,6,2.75367
-38.392143,6,2.760651
-30.417645,6,2.760651
-44.233784,6,2.760651
-26.537086,5,2.760651
-36.913185,6,2.766635
-34.8415,6,2.766635
-26.667496,7,2.769179
-39.123028,6,2.769179
-37.28033,6,2.777158
-29.753199,6,2.777158
-42.397274,6,2.782145
-30.920183,9,2.785136
-29.992733,7,2.785136
-29.524418,7,2.788129
-26.898663,7,2.788129
-28.184597,10,2.788129
-36.49977,7,2.795161
-36.69427,7,2.795161
-36.7119,6,2.798154
-26.413418,7,2.804137
-38.81059,6,2.804137
-33.374786,6,2.804137
-34.19659,6,2.804137
-39.12236,7,2.804137
-30.395472,6,2.811121
-33.479706,7,2.814113
-32.60077,6,2.814113
-39.756123,6,2.8191
-38.905006,6,2.8191
-35.698215,6,2.8191
-32.817062,7,2.822093
-27.847557,6,2.827079
-36.027138,10,2.830311
-33.46957,7,2.832305
-37.848553,7,2.833335
-39.231747,6,2.835297
-33.200695,6,2.835297
-35.76804,6,2.835297
-35.628773,6,2.838289
-36.423096,6,2.843277
-32.61821,6,2.845271
-40.821922,6,2.850689
-38.59354,5,2.850689
-35.000404,7,2.850689
-34.462418,7,2.850689
-26.399704,7,2.853716
-30.470333,7,2.853716
-31.1982,6,2.858668
-35.027836,6,2.861659
-39.99129,6,2.866647
-35.61791,7,2.870221
-38.518852,6,2.870221
-35.409477,6,2.870221
-34.854076,7,2.870221
-34.807487,8,2.87219
-22.002695,6,2.875207
-30.53346,7,2.880194
-37.35214,6,2.885156
-35.151558,7,2.885156
-38.412807,6,2.885156
-26.757898,6,2.885156
-39.952827,8,2.891193
-30.134892,7,2.891193
-37.679913,6,2.891193
-27.513132,6,2.896179
-28.787024,6,2.902163
-24.25062,6,2.902163
-36.79758,7,2.904158
-36.137806,7,2.904158
-33.238617,6,2.90715
-32.41399,6,2.90715
-35.05904,6,2.90715
-37.499588,6,2.913247
-41.948273,6,2.918235
-37.919094,6,2.918235
-34.3759,6,2.921228
-36.216457,6,2.923221
-36.461353,6,2.923221
-37.16167,7,2.926213
-29.139502,10,2.93118
-29.738941,6,2.934173
-36.268833,6,2.934173
-37.259377,6,2.937164
-32.587475,6,2.940156
-34.52235,6,2.940156
-36.47063,6,2.942151
-24.406809,6,2.948134
-31.850712,6,2.950685
-33.83201,6,2.950685
-34.742947,6,2.953677
-39.645657,6,2.956667
-60.374706,18,2.961655
-32.704403,7,2.961655
