#{"t_start": 1754489820.6862004, "env_id": "None"}
r,l,t
-62.912376,23,18.308957
-16.002623,25,18.329007
-12.108695,26,18.340114
-113.50352,27,18.342232
-13.745792,25,18.348193
-110.99944,31,18.350302
-14.41256,24,18.382416
-258.03333,32,18.383414
-15.452433,23,18.387417
-10.232514,29,18.389475
-12.271526,25,18.393331
-2287.6475,78,18.400916
-641.1697,53,18.403131
-13.392609,24,18.424057
-15.572058,23,18.42786
-64.94347,26,18.429994
-15.010426,26,18.435989
-60.691093,28,18.442442
-2477.9128,83,18.450325
-160.90274,30,18.453921
-14.603429,25,18.471573
-14.8065195,26,18.478577
-259.39743,34,18.482111
-13.24968,27,18.487111
-64.54269,25,18.510844
-14.168494,26,18.520968
-62.878334,26,18.529495
-2583.3215,82,18.542539
-357.4036,36,18.542539
-742.4995,55,18.545547
-61.673767,26,18.558061
-2289.7046,78,18.562583
-1738.1077,68,18.566596
-11.726978,26,18.576108
-113.47856,26,18.587629
-16.99901,29,18.595158
-258.22186,30,18.608207
-258.97333,32,18.620739
-61.44325,30,18.638788
-56.667027,31,18.649313
-2281.9211,78,18.65584
-113.51047,29,18.668362
-2639.7825,83,18.684424
-2832.786,83,18.789156
-260.21405,34,18.792668
-2234.7527,77,18.792668
-60.568653,32,18.795674
-108.92739,28,18.802216
-1888.5762,71,18.813268
-111.68874,31,18.820742
-12.487151,24,18.835732
-62.135117,27,18.83673
-11.7540245,25,18.844245
-208.51172,33,18.844245
-408.70517,39,18.856756
-113.41068,27,18.858754
-2428.7505,80,18.858754
-210.05548,29,18.868997
-64.012985,26,18.878516
-110.16352,29,18.881021
-12.7035885,25,18.883029
-60.691315,27,18.885033
-13.0867815,24,18.903883
-260.15082,32,18.904884
-301.11728,34,18.906885
-15.4098835,25,18.917958
-13.5942545,26,18.944996
-61.293274,29,18.947996
-892.4259,62,18.968941
-2934.971,89,18.988971
-259.50275,31,18.989973
-1989.1417,73,18.991477
-2431.9272,83,19.001996
-11.911595,26,19.005996
-2585.299,80,19.019508
-13.801067,25,19.028035
-10.035153,29,19.03307
-253.97734,33,19.03807
-2834.198,88,19.048583
-14.8110695,24,19.072783
-61.97163,28,19.074785
-2629.4197,86,19.079783
-12.493467,27,19.09481
-1442.0858,64,19.110045
-14.495642,22,19.110045
-11.224167,25,19.117556
-64.46205,28,19.129075
-12.579904,23,19.136135
-2535.2722,82,19.138136
-59.504345,26,19.157932
