#{"t_start": 1754459788.8921247, "env_id": "None"}
r,l,t
1389.725,196,97.594255
1928.0072,244,97.672399
1937.4991,248,97.672399
1963.4387,252,97.710207
1988.4993,257,97.810452
1227.7173,174,106.264615
1072.8083,162,106.306855
2027.7214,250,106.347018
1120.4642,160,106.627811
1453.5308,200,106.797049
1210.9581,157,107.028782
6370.194,1000,107.066421
2021.7534,247,107.414153
2258.97,290,107.76838
2002.7292,260,108.069096
4123.8022,1000,108.269606
1944.0713,252,108.369849
6527.9233,1000,108.447962
1219.4606,171,108.485781
6086.3325,1000,108.686301
1876.7823,257,108.871158
2034.3507,249,108.933684
1948.1451,256,109.033889
2039.5919,246,109.372058
7171.8105,1000,109.418925
1942.738,248,109.472297
1984.1345,248,109.588164
853.2398,135,109.75089
1261.7435,183,109.835547
1710.2596,235,110.020407
819.9888,126,110.020407
2175.535,333,110.352431
1905.5251,240,110.352431
1878.5557,240,110.546918
1969.1885,243,110.56254
7225.024,1000,110.675349
1986.6515,1000,119.219934
1917.5751,247,119.233604
2026.3706,275,119.320307
1600.4099,209,119.394692
1776.5776,236,119.438392
1630.1926,229,119.545589
926.5406,131,119.670033
1814.5444,225,119.732479
1551.987,209,119.779312
1341.9458,190,119.848309
1753.4357,277,119.86393
1269.7516,167,119.91731
907.3364,145,120.017549
1603.4542,210,120.248923
1470.2565,208,120.280167
1420.4108,201,120.349213
1278.7799,175,120.349213
800.7097,137,120.349213
2036.9854,246,120.465074
1245.6254,152,120.64312
1302.5918,170,120.64312
1384.0643,199,120.796728
1710.1619,217,120.834483
2523.8442,284,120.950409
2010.9698,250,120.981651
1981.1152,242,121.135298
2021.5752,244,121.150889
1461.6779,200,121.204293
1381.6023,194,121.235542
1015.7647,144,121.282406
1497.4594,203,121.43598
2118.6304,249,121.694818
1470.6478,207,121.694818
1556.409,210,121.730564
2003.8372,252,121.746187
1873.0438,306,121.806145
1830.5793,230,122.223999
2211.5088,261,122.471172
1304.2664,186,122.745481
953.54877,148,122.885546
1980.547,248,123.386822
1523.5088,213,123.440237
1287.4414,181,123.872428
7242.2354,1000,123.972675
1811.0309,258,132.853611
7199.005,1000,133.016612
6653.7563,1000,133.0771
7001.352,1000,133.097256
1750.4456,247,133.248355
798.8185,123,133.318991
2082.2896,248,133.347267
2066.6287,246,133.480651
1913.4932,235,133.652434
1520.0679,206,133.751587
859.7664,135,133.812241
2010.5913,243,133.923378
1956.7809,247,133.963774
1952.0386,240,134.307046
1359.0764,192,134.332684
2099.7034,250,134.432922
1946.9642,239,134.633406
1257.1615,167,134.796136
857.59784,129,134.796136
1961.9796,253,135.034407
1285.1665,178,135.112548
1082.9084,146,135.181609
2174.121,259,135.466722
1560.577,216,135.682868
7014.784,1000,135.69849
1256.709,154,136.083869
2171.7173,356,136.121621
2204.1582,253,136.152868
2080.0244,257,136.400249
7083.0103,1000,136.638529
1416.5592,202,136.685425
2046.7561,254,136.785699
